,id,name,username,created_at,protected,verified,location,description,followers_count,following_count,tweet_count,account_type
0,21447363,KATY PERRY,katyperry,2009-02-20T23:45:56.000Z,FALSE,TRUE,,LOVE is the key that unlocks every door🗝️♥️,108878036,245,11778,0
1,27260086,Justin Bieber,justinbieber,2009-03-28T16:41:22.000Z,FALSE,TRUE,The 6,JUSTICE the album out now,113825417,281733,31332,0
2,17919972,Taylor Swift,taylorswift13,2008-12-06T10:10:54.000Z,FALSE,TRUE,,"I'm the problem, it's me",91736362,0,742,0
3,79293791,Rihanna,rihanna,2009-10-02T21:37:33.000Z,FALSE,TRUE,,,107130421,982,10656,0
4,14230524,Lady Gaga,ladygaga,2008-03-26T22:37:48.000Z,FALSE,TRUE,,THE CHROMATICA BALL ⚔️💓 | Hold My Hand ✈️ Out Now | HAUS LABS 💄 @hauslabs | Love For Sale 🎺 Out Now https://t.co/CO0n8zLh7T,84952188,117031,9954,0
5,26565946,Justin Timberlake,jtimberlake,2009-03-25T19:10:50.000Z,FALSE,TRUE,"Memphis, TN",I write hooks but I’m really just here for the bridge.,62857419,337,4377,0
6,15846407,Ellen DeGeneres,TheEllenShow,2008-08-14T03:50:42.000Z,FALSE,TRUE,California,"Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular. @ellentube @theellenfund",77112602,26044,24328,0
7,16409683,Britney Spears 🌹🚀,britneyspears,2008-09-22T20:47:35.000Z,FALSE,TRUE,"Los Angeles, CA",#HoldMeCloser with @EltonOfficial out now 🌹🚀,56143731,360670,5641,0
8,155659213,Cristiano Ronaldo,Cristiano,2010-06-14T19:09:20.000Z,FALSE,TRUE,,This Privacy Policy addresses the collection and use of personal information - https://t.co/N9W2J34YdA,104597302,62,3829,0
9,25365536,Kim Kardashian,KimKardashian,2009-03-19T19:21:56.000Z,FALSE,TRUE, ,@SKIMS @SKKN @SKKYPartners,74103428,122,36001,0
10,44409004,Shakira,shakira,2009-06-03T17:38:07.000Z,FALSE,TRUE,Barranquilla,MONOTONÍA 🫀🗡️ YA DISPONIBLE ⬇️ https://t.co/Y3a2InXQdR,53326579,232,7957,0
11,23375688,Selena Gomez,selenagomez,2009-03-09T00:16:45.000Z,FALSE,TRUE,Los Angeles,"My Mind & Me out November 4th: https://t.co/95UfIInXBK
The song is out now: https://t.co/tGr847r9WE",66465754,1083,5484,0
12,85603854,jlo,JLo,2009-10-27T16:24:51.000Z,FALSE,TRUE,"Bronx, NY",Celebrating #20yearsofTHISISMETHEN ✨,45517341,1872,18020,0
13,21111883,Demi Lovato,ddlovato,2009-02-17T18:02:08.000Z,FALSE,TRUE,DALLAS/LA,HOLY FVCK out now 🖤,54077391,1,17808,0
14,15485441,Jimmy Fallon,jimmyfallon,2008-07-18T19:46:50.000Z,FALSE,TRUE,"New York, New York",astrophysicist,51305579,10992,14369,0
15,19397785,Oprah Winfrey,Oprah,2009-01-23T15:18:34.000Z,FALSE,TRUE,,,43152538,317,13649,0
16,28706024,P!nk,Pink,2009-04-04T01:16:34.000Z,FALSE,TRUE,los angeles,Never Gonna Not Dance Again is OUT NOW 🛼🪩🎪 Summer Carnival 2023 Tickets on sale NOW!,31603989,470,8261,0
17,27195114,Drizzy,Drake,2009-03-28T07:17:46.000Z,FALSE,TRUE,Paradise,,39860152,600,1816,0
18,181561712,Harry Styles.,Harry_Styles,2010-08-22T14:19:06.000Z,FALSE,TRUE,,,38379120,1807,5687,0
19,209708391,One Direction,onedirection,2010-10-29T19:05:25.000Z,FALSE,TRUE,London,#10YearsOf1D Listen to your favourite 1D songs here… https://t.co/Van2RFMJ1c,31039274,3355,9747,0
20,50393960,Bill Gates,BillGates,2009-06-24T18:44:10.000Z,FALSE,TRUE,"Seattle, WA",Sharing things I'm learning through my foundation work and other interests.,61013530,506,4125,0
21,23083404,LeBron James,KingJames,2009-03-06T16:25:53.000Z,FALSE,TRUE,Amongst La Familia!,EST. AKRON - ST.V/M Class of '03 https://t.co/TrZZrgR90t #IPROMISE,52419662,184,8742,0
22,116362700,Lil Wayne WEEZY F,LilTunechi,2010-02-22T05:29:44.000Z,FALSE,TRUE,,https://t.co/orDUcKw7qh,35109538,55,2513,0
23,100220864,Bruno Mars,BrunoMars,2009-12-29T13:07:04.000Z,FALSE,TRUE,,Silk Sonic album is available everywhere!,43182309,91,4988,0
24,60865434,Kaka,KAKA,2009-07-28T10:05:26.000Z,FALSE,TRUE,,,29393912,231,5309,0
25,184910040,Adele,Adele,2010-08-30T19:53:19.000Z,FALSE,TRUE,London,https://t.co/31T2EYGNLy,27646968,1,375,0
26,105119490,Niall Horan,NiallOfficial,2010-01-15T12:14:24.000Z,FALSE,TRUE,"Mullingar,Westmeath,Ireland",,41138254,5737,18412,0
27,268414482,Miley Cyrus,MileyCyrus,2011-03-18T18:36:02.000Z,FALSE,TRUE,,M-CEO of Twitter 💙🕊,46760508,69,12113,0
28,35094637,Alicia Keys,aliciakeys,2009-04-25T00:46:24.000Z,FALSE,TRUE,New York City,Santa Baby Out Now ✨🎅🏾👶🏾✨ || Creator @Keyssoulcare | 🗽🗽🗽,30082906,778,11209,0
29,23151437,Kevin Hart,KevinHart4real,2009-03-07T02:02:31.000Z,FALSE,TRUE,Philly/LA,My name is Kevin Hart and I WORK HARD!!! That pretty much sums me up!!! Everybody Wants To Be Famous But Nobody Wants To Do The Work,37642926,563,42145,0
30,20322929,Wiz Khalifa,wizkhalifa,2009-02-07T17:59:34.000Z,FALSE,TRUE,Pix Burgh,Taylor Gang,36757521,887,50734,0
31,31927467,Pitbull,pitbull,2009-04-16T16:03:02.000Z,FALSE,TRUE,"Miami, FL",Mr. Worldwide. Musician. Entertainer. Education Ambassador. Entrepreneur.,25003872,2299,8775,0
32,84279963,Louis Tomlinson,Louis_Tomlinson,2009-10-22T08:58:11.000Z,FALSE,TRUE,Doncaster,Faith in the future. @lthqofficial,35965895,3457,7716,0
33,35787166,Nicki Minaj,NICKIMINAJ,2009-04-27T16:36:43.000Z,FALSE,TRUE,,#SuperFreakyGirlVIDEO IS OUT NOW🔖🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀,27209015,6328,44664,0
34,158487331,Neymar Jr,neymarjr,2010-06-22T20:59:27.000Z,FALSE,TRUE,"Paris, France","Filho de Deus, Pai, Feliz e Ousado !",58986302,625,42291,0
35,22940219,Marshall Mathers,Eminem,2009-03-05T16:33:48.000Z,FALSE,TRUE,Detroit,,22801416,0,1234,0
36,73992972,Avril Lavigne,AvrilLavigne,2009-09-13T22:43:00.000Z,FALSE,TRUE,,"Listen to ""I'm A Mess"" with YUNGBLUD 🖤☠️🖤",20617221,146,4580,0
37,90420314,Neil Patrick Harris,ActuallyNPH,2009-11-16T15:54:48.000Z,FALSE,TRUE,Manhattanland,"Husband, father, random sayer of stuff. ALSO click the link below if you want to level up in Awesometown (or subscribe to exclusive content from yours truly).",25387162,166,3259,0
38,25521487,daniel tosh,danieltosh,2009-03-20T15:32:52.000Z,FALSE,TRUE,,founder of https://t.co/Mp6Q9vNi7H,24049513,123,38,0
39,23976386,David Guetta,davidguetta,2009-03-12T16:19:49.000Z,FALSE,TRUE,"Ibiza, Paris, the world...",'I'm Good (Blue)' with @BebeRexha is OUT NOW!!! https://t.co/sGPp7QwDtq,20088911,475,6580,0
40,115485051,Conan O'Brien,ConanOBrien,2010-02-18T20:17:16.000Z,FALSE,TRUE,Los Angeles,"The voice of the people. Sorry, people.",28504537,1,5301,0
41,145125358,Amitabh Bachchan,SrBachchan,2010-05-18T05:16:47.000Z,FALSE,TRUE,"Mumbai, India","""तुमने हमें पूज पूज कर पत्थर कर डाला ; वे जो हमपर जुमले कसते हैं हमें ज़िंदा तो समझते हैं ""~  हरिवंश राय  बच्चन",48113503,1797,69521,0
42,19058681,ashton kutcher,aplusk,2009-01-16T07:40:06.000Z,FALSE,TRUE,"Los Angeles, California","I build things, stories, companies, collaborations of thoughts, dreams, & believe in a future where we all have a right to pursue happiness. +1 (319) 519-0576",17061730,771,10720,0
43,32959253,Khloé,khloekardashian,2009-04-18T18:01:25.000Z,FALSE,TRUE,,,30479180,235,67809,0
44,23617610,Kourtney Kardashian,kourtneykardash,2009-03-10T17:12:52.000Z,FALSE,TRUE,,,26849503,67,14483,0
45,176566242,zayn,zaynmalik,2010-08-09T21:54:10.000Z,FALSE,TRUE,,,30938894,1938,3692,0
46,101311381,Shah Rukh Khan,iamsrk,2010-01-02T20:55:43.000Z,FALSE,TRUE,,,42872344,74,58342,0
47,18863815,Coldplay,coldplay,2009-01-11T11:04:45.000Z,FALSE,TRUE,"Buenos Aires, Argentina",The official Twitter of the band Coldplay. Latest album Music Of The Spheres out now. Music Of The Spheres World Tour in 2022/23.,23756058,779,9488,0
48,19248106,Mariah Carey,MariahCarey,2009-01-20T18:08:51.000Z,FALSE,TRUE,Citizen of the World Dahhhling,Mimi 🦋✨,21867713,188,10812,0
49,85452649,Ed Sheeran HQ,edsheeran,2009-10-26T23:57:28.000Z,FALSE,TRUE,London,North American Mathematics Tour 2023: https://t.co/nQaYLDnvA4,17556661,0,23741,0
50,268439864,Christina Aguilera,xtina,2011-03-18T19:41:39.000Z,FALSE,TRUE,,🖤🤍 #LaFuerza #LaTormenta #LaLuz,16654157,48,3023,0
51,52551600,Jim Carrey,JimCarrey,2009-06-30T22:58:44.000Z,FALSE,TRUE,Los Angeles,The ONLY official social media account for Actor Author and Artist Jim Carrey!,18960034,1,4700,0
