protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,0,0,7,1,9,0,0,3,0,0,0,0,0,1,4881
0,0,1,92,504,1188,1,7,0,1,2,0,1,0,0,0,1,4838
0,0,1,115,0,210,1,15,0,1,12,0,1,0,6,0,1,3936
0,0,1,0,0,89,1,11,0,1,12,0,1,0,0,0,1,3067
0,0,1,1529,1417,40057,1,9,1,1,5,0,1,0,0,0,1,3614
0,0,1,4,0,85,1,6,0,1,7,0,1,0,0,0,1,4836
0,0,1,31,8,27,1,14,0,0,5,0,0,0,0,0,1,4852
0,0,1,81,2750,141,1,8,0,0,9,0,1,0,0,0,0,4761
0,0,1,46,609,157,1,9,0,1,14,0,1,0,0,0,1,4545
0,0,1,30,0,162,1,10,1,0,18,1,1,0,0,0,1,4711
0,0,1,9,623,38,1,10,0,0,10,0,0,0,0,0,1,4637
1,0,1,49,66,14416,1,10,0,1,4,0,1,0,0,0,1,4441
0,0,1,346,442,14991,1,9,0,0,9,0,1,0,0,0,1,4484
0,0,1,109,131,709,1,11,0,0,19,0,1,0,0,0,1,4543
0,0,1,78,876,126,1,6,0,0,13,0,0,0,0,0,1,4458
0,0,1,8,0,38,1,8,0,1,15,0,1,0,0,0,1,4390
0,0,1,41,0,209,1,11,0,1,14,0,1,0,0,0,1,4387
0,0,1,0,211,7,1,9,1,1,9,0,0,0,0,0,0,4369
0,0,1,67,0,1895,1,13,1,1,18,0,1,1,0,0,1,4347
0,0,1,1,0,56,1,11,0,0,15,0,0,0,0,0,1,4358
0,0,1,4,443,56,1,6,0,0,10,0,0,0,0,0,1,4344
0,0,1,0,0,9,1,10,1,1,13,0,0,0,0,0,1,4335
0,0,1,4,0,142,1,11,0,1,14,0,1,0,0,0,1,4341
0,0,1,63,403,83,1,10,0,0,6,0,0,0,0,0,1,4334
0,0,1,60,1040,1155,1,12,0,0,14,0,1,0,0,0,1,4317
0,0,1,302,289,6552,1,11,1,1,13,0,1,0,0,0,1,4326
0,0,1,41,0,950,1,13,1,1,13,0,1,0,0,0,1,4302
0,0,1,0,9,18,1,9,0,1,7,0,1,0,0,0,1,4222
0,0,1,1,0,13,1,10,0,0,15,0,0,0,0,0,1,4207
0,0,1,39,0,166,1,15,0,1,16,0,0,0,0,0,1,4176
0,0,1,36,0,126,1,12,0,1,13,0,1,0,0,0,1,4159
0,0,1,0,0,44,1,6,0,1,10,0,1,0,0,0,1,4140
0,0,1,2,0,80,1,10,1,0,11,0,0,0,0,0,1,4014
0,0,1,4,0,39,1,9,0,0,12,0,1,0,0,0,1,4098
0,0,1,42,0,79,1,10,0,1,12,0,1,0,0,0,1,4049
0,0,1,1,0,36,1,12,0,0,13,0,0,0,0,0,1,4008
0,0,1,19,212,82,1,10,1,0,9,0,0,0,0,0,1,4007
0,0,1,8,0,40,1,8,1,0,12,0,1,0,0,0,0,3979
0,0,1,50,316,84,1,9,0,0,11,0,1,0,0,0,1,3892
0,0,1,2,0,32,1,9,1,0,11,0,1,0,0,0,0,3955
0,0,1,12,0,12,1,11,0,1,13,0,1,0,0,0,1,3928
0,0,1,4,0,8,1,13,0,0,14,0,0,0,0,0,1,3881
0,0,1,4,0,28,1,9,0,1,11,0,1,0,0,0,1,3868
0,0,1,7,0,23,1,8,0,0,8,0,0,0,0,0,1,3861
0,0,1,177,0,309,1,13,0,0,19,0,1,0,0,0,1,3672
0,0,1,4,0,27,1,15,0,0,13,0,1,0,0,0,1,3779
0,0,1,8,0,73,1,10,0,0,15,0,1,0,0,1,1,3782
0,0,1,7,0,71,1,6,0,1,17,0,1,0,0,0,1,3698
0,0,1,15,0,30,1,11,0,0,19,0,1,0,0,0,1,3609
0,0,1,26,0,92,1,9,0,1,14,0,1,0,0,1,0,3605
0,0,1,27,988,115,1,12,0,1,15,0,1,0,0,0,1,3579
0,0,1,6,0,74,1,15,0,1,13,0,1,0,0,0,1,3584
0,0,1,2,0,47,1,13,0,1,14,0,1,0,0,0,1,3544
0,0,1,1,0,70,1,6,0,1,14,0,0,0,0,0,1,3533
0,0,1,1,323,31,1,13,0,1,14,0,1,0,0,0,1,3472
0,0,1,16,0,84,1,11,0,1,13,0,1,0,0,0,1,3401
0,0,1,10,477,69,1,11,0,0,13,0,0,0,0,0,1,3378
0,0,1,392,0,50,1,12,1,1,12,0,1,0,0,0,1,3365
0,0,1,47,447,68,1,8,0,0,14,0,1,0,0,0,0,3230
0,0,1,2,0,24,1,6,0,0,14,0,1,0,0,1,1,3109
0,0,1,2,0,36,1,14,1,0,14,0,1,0,0,0,1,3112
0,0,1,33,40,64,1,11,0,1,14,0,1,0,0,0,1,3039
0,0,1,6,0,44,1,15,0,0,13,0,0,0,0,0,1,3005
0,0,1,6,0,53,1,13,1,1,12,1,1,0,0,0,0,2702
