protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,1,1,108878036,245,11778,0,9,0,0,10,0,1,0,0,0,1,4978
0,1,1,113825417,281733,31332,0,12,0,0,13,0,1,0,0,0,1,4942
0,1,1,91736362,0,742,0,13,0,0,12,0,1,0,0,0,1,5054
0,1,1,107130421,982,10656,0,7,0,0,7,0,1,0,0,0,1,4754
0,1,1,84952188,117031,9954,0,8,0,0,9,0,1,1,0,1,1,5309
0,1,1,62857419,337,4377,0,11,0,0,17,0,1,0,0,0,1,4945
0,1,1,77112602,26044,24328,0,12,0,1,15,0,1,2,0,0,1,5168
0,1,1,56143731,360670,5641,0,13,0,0,17,0,1,1,1,0,0,5129
0,1,1,104597302,62,3829,0,9,0,1,17,0,1,0,0,1,1,4499
0,1,1,74103428,122,36001,0,13,0,1,14,0,1,3,0,0,1,4951
0,1,1,53326579,232,7957,0,7,0,0,7,0,1,0,0,1,1,4875
0,1,1,66465754,1083,5484,0,11,0,0,12,0,1,0,0,1,1,4961
0,1,1,45517341,1872,18020,0,3,0,1,3,0,0,0,1,0,1,4729
0,1,1,54077391,1,17808,0,8,0,0,11,0,1,0,0,0,1,4981
0,1,1,51305579,10992,14369,0,11,0,0,12,0,1,0,0,0,1,5195
0,1,1,43152538,317,13649,0,5,0,1,13,0,1,0,0,0,1,5006
0,1,1,31603989,470,8261,0,4,0,1,4,1,1,0,0,0,1,4935
0,1,1,39860152,600,1816,0,5,0,1,6,0,1,0,0,0,0,4942
0,1,1,38379120,1807,5687,0,12,1,1,13,0,1,0,0,0,1,4430
0,1,1,31039274,3355,9747,0,12,0,0,13,0,1,0,1,1,1,4362
0,1,1,61013530,506,4125,0,9,0,1,10,0,1,0,0,0,1,4854
0,1,1,52419662,184,8742,0,9,0,1,12,0,1,0,1,1,1,4964
0,1,1,35109538,55,2513,0,10,0,1,17,0,1,0,0,1,1,4611
0,1,1,43182309,91,4988,0,9,0,1,10,0,1,0,0,0,1,4666
0,1,1,29393912,231,5309,0,4,0,1,4,0,1,0,0,0,1,4820
0,1,1,27646968,1,375,0,5,0,1,5,0,1,0,0,1,1,4422
0,1,1,41138254,5737,18412,0,13,0,1,11,0,1,0,0,0,1,4649
0,1,1,46760508,69,12113,0,10,0,1,11,0,1,0,0,0,1,4222
0,1,1,30082906,778,11209,0,10,0,0,11,0,1,1,0,0,1,4914
0,1,1,37642926,563,42145,0,14,0,1,10,0,1,0,0,0,1,4963
0,1,1,36757521,887,50734,0,10,0,0,11,0,1,0,0,0,1,4991
0,1,1,25003872,2299,8775,0,7,0,0,7,0,1,0,0,0,1,4923
0,0,1,7093,0,0,0,15,1,1,4,0,1,0,0,0,1,2250
