protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,0,1997.0,5.0,17090.0,1,15,1,0,19,0,1,2,0,0,1,2184
0,0,1,785.0,829.0,251.0,0,12,0,1,8,0,1,0,0,0,1,2159
0,0,0,243.0,1232.0,1469.0,0,8,0,1,11,0,0,0,0,0,1,1939
0,0,1,749.0,838.0,2518.0,0,11,0,1,15,0,1,0,0,0,1,2270
0,1,1,737048.0,128.0,4739.0,0,13,0,1,14,0,1,1,0,0,1,3919
0,1,1,281703.0,1599.0,14785.0,0,14,0,0,16,0,1,1,0,1,1,4840
0,1,0,7377103.0,38.0,1344.0,0,7,0,0,19,0,1,0,0,0,1,3683
0,0,0,24.0,0.0,276.0,0,14,0,0,15,0,1,0,0,0,0,3583
0,0,1,1989.0,3248.0,64494.0,0,10,0,1,6,0,1,0,0,0,1,3889
0,0,1,28.0,0.0,910.0,0,13,0,0,4,0,1,0,0,0,1,3956
0,0,1,32892.0,28.0,27939.0,1,8,1,0,8,0,0,0,0,0,1,3031
0,0,1,251534.0,0.0,47740.0,0,15,0,1,20,0,1,1,2,0,1,5001
0,1,1,1819606.0,2765.0,86481.0,0,15,0,1,16,0,0,0,0,0,1,4140
0,1,1,247722.0,628.0,6308.0,0,15,0,0,16,0,1,0,1,0,1,4357
0,0,0,5118.0,563.0,114500.0,0,9,0,1,13,0,1,0,0,0,1,3701
0,0,0,0.0,0.0,264.0,0,13,0,1,14,0,1,0,0,0,1,2226
0,0,0,0.0,0.0,100.0,0,12,0,1,13,0,1,0,0,0,1,2225
0,0,0,6.0,31.0,616.0,1,12,0,1,13,0,1,0,0,0,0,4023
0,1,1,35356.0,344.0,9196.0,0,7,0,1,11,0,1,0,0,0,1,4152
0,0,0,4.0,0.0,22.0,1,7,0,1,10,0,1,0,0,1,1,3522
0,1,0,7995539.0,3058.0,23467.0,0,12,0,1,16,0,1,0,0,0,1,4251
